Morus	tissue	TPM_bato
Morus_000607-R1	ML	4.185993
Morus_000607-R1	YL	0
Morus_000609-R1	ML	0
Morus_000609-R1	YL	0
Morus_000613-R1	ML	0
Morus_000613-R1	YL	0
Morus_000617-R1	ML	1.306688
Morus_000617-R1	YL	1.49442
Morus_000621-R1	ML	0
Morus_000621-R1	YL	0
Morus_000625-R1	ML	0
Morus_000625-R1	YL	0
Morus_000629-R1	ML	122.383539
Morus_000629-R1	YL	49.830966
Morus_000630-R1	ML	10.892776
Morus_000630-R1	YL	0
Morus_000636-R1	ML	394.572462
Morus_000636-R1	YL	25.152237
Morus_000639-R1	ML	15.735577
Morus_000639-R1	YL	16.611977
Morus_000640-R1	ML	1489.788136
Morus_000640-R1	YL	4280.774699
Morus_000641-R1	ML	1.296026
Morus_000641-R1	YL	7.41113
Morus_000643-R1	ML	0
Morus_000643-R1	YL	27.278566
Morus_000645-R1	ML	982.884503
Morus_000645-R1	YL	719.152333
Morus_000646-R1	ML	0
Morus_000646-R1	YL	0
Morus_000648-R1	ML	0
Morus_000648-R1	YL	0
Morus_000650-R1	ML	0
Morus_000650-R1	YL	1.280263
Morus_000651-R1	ML	0
Morus_000651-R1	YL	0
Morus_000652-R1	ML	70.646503
Morus_000652-R1	YL	95.550396
Morus_000653-R1	ML	5.334017
Morus_000653-R1	YL	0
Morus_000654-R1	ML	34.735918
Morus_000654-R1	YL	36.670551
Morus_000655-R1	ML	0
Morus_000655-R1	YL	0
Morus_000657-R1	ML	106.768877
Morus_000657-R1	YL	111.254291
Morus_000658-R1	ML	41.749284
Morus_000658-R1	YL	47.143009
Morus_000659-R1	ML	0
Morus_000659-R1	YL	0
Morus_000660-R1	ML	0
Morus_000660-R1	YL	5.78724
Morus_000661-R1	ML	1.313894
Morus_000661-R1	YL	0
Morus_000664-R1	ML	44.394926
Morus_000664-R1	YL	2.538657
Morus_000666-R1	ML	0
Morus_000666-R1	YL	0
Morus_000668-R1	ML	1.709948
Morus_000668-R1	YL	0
Morus_000669-R1	ML	5.834762
Morus_000669-R1	YL	1.668261
Morus_000672-R1	ML	1.930475
Morus_000672-R1	YL	5.519566
Morus_000674-R1	ML	0
Morus_000674-R1	YL	0
Morus_000676-R1	ML	0
Morus_000676-R1	YL	2.574638
Morus_000677-R1	ML	7.730599
Morus_000677-R1	YL	21.366366
