d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
binding; catalytic activity:methyltransferase activity; protein dimerization activity; O-methyltransferase activity	OG0000163	9	4	5	4	5	3	4	2	5	4	5	5	6	5	6	2	6	5	2	5
catalytic activity:lipid metabolic process; O-acyltransferase activity	OG0000164	7	5	6	3	6	3	6	3	5	4	5	4	6	4	5	3	5	6	3	4
binding:protein kinase activity; protein phosphorylation; protein binding; protein serine/threonine kinase activity; ATP binding	OG0000165	6	7	3	6	3	6	3	5	3	6	3	7	3	7	4	4	4	6	4	3
binding:FMN binding; oxidoreductase activity; peroxisome; jasmonic acid biosynthetic process; 12-oxophytodienoate reductase activity; oxylipin biosynthetic process	OG0000166	5	2	8	2	7	2	7	2	7	2	8	2	8	2	7	2	7	2	2	7
transport:monoatomic ion channel activity; monoatomic ion transport; membrane; transmembrane transport	OG0000167	10	6	7	4	2	3	4	4	3	3	4	6	7	5	7	4	3	3	4	5
unknown; binding:membrane; ABC-type transporter activity; ATP binding; ATP hydrolysis activity	OG0000168	8	4	5	4	5	3	5	3	6	3	4	4	6	1	6	6	4	6	3	6
transport:plasma membrane; monoatomic cation transport; sodium:proton antiporter activity; potassium:proton antiporter activity; membrane; regulation of intracellular pH; potassium ion transmembrane transport; regulation of stomatal closure; sodium ion import across plasma membrane; proton transmembrane transport; antiporter activity; transmembrane transport	OG0000169	6	5	5	5	4	5	5	4	4	5	4	4	5	4	5	5	2	6	4	4
NA	OG0000170	10	3	4	5	4	5	4	4	4	5	4	5	4	5	4	5	3	6	4	3
binding; unknown; signaling:protein binding; mRNA binding; RNA splicing; chloroplast; chloroplast-nucleus signaling pathway; mitochondria-nucleus signaling pathway; mitochondrion; RNA processing; mitochondrion organization	OG0000171	6	5	5	4	4	4	4	4	4	5	5	5	5	5	5	3	5	6	4	4
NA	OG0000172	9	6	3	6	3	6	3	7	1	6	3	6	3	6	3	7	1	3	7	2
NA	OG0000173	7	5	4	5	4	6	4	5	1	6	5	4	6	6	5	4	4	1	3	3
transport:monoatomic anion transport; membrane; solute:inorganic anion antiporter activity; plasma membrane; transmembrane transporter activity; monoatomic ion homeostasis; transmembrane transport; active borate transmembrane transporter activity	OG0000174	7	5	4	5	4	5	4	4	3	5	4	7	4	5	4	4	4	5	4	3
binding:DNA binding; protein heterodimerization activity; nucleosome; structural constituent of chromatin	OG0000175	5	7	3	5	3	6	2	6	3	7	3	7	2	7	2	8	1	3	6	3
NA	OG0000176	7	3	6	3	6	0	7	0	7	0	7	3	8	2	6	5	5	7	2	7
NA	OG0000177	7	5	5	5	5	5	4	4	4	3	4	5	5	5	5	4	4	4	4	4
NA	OG0000178	5	9	2	10	1	7	1	4	1	7	1	13	3	9	2	3	2	4	3	2
catalytic activity:methyltransferase activity	OG0000179	5	5	5	6	5	5	5	3	1	6	3	6	6	6	5	5	1	3	5	0
binding:peroxidase activity; response to oxidative stress; heme binding	OG0000180	5	4	6	3	4	4	6	2	4	4	6	4	6	3	6	4	3	5	3	5
NA	OG0000181	5	6	3	6	2	5	3	6	3	6	3	6	3	6	3	8	0	5	5	3
NA	OG0000182	7	3	5	4	5	3	5	4	5	3	5	3	5	3	5	4	3	6	4	5
catalytic activity:phospholipase activity; acylglycerol lipase activity; lipid metabolic process	OG0000183	7	5	3	4	5	6	3	3	3	6	3	6	3	5	3	6	3	3	6	3
NA	OG0000184	7	5	5	4	4	5	4	3	2	5	4	5	6	5	6	1	4	6	1	4
catalytic activity:proteolysis; serine-type peptidase activity; serine-type endopeptidase activity	OG0000185	5	5	6	5	4	5	4	3	4	4	5	5	6	4	5	3	4	3	2	5
signaling; binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane; cell surface receptor signaling pathway; calcium ion binding; polysaccharide binding; membrane	OG0000186	5	6	2	7	2	8	2	6	2	8	2	7	2	6	2	6	2	2	6	2
binding:protein binding	OG0000187	6	5	4	5	3	5	3	6	3	5	3	6	4	5	4	6	3	2	6	3
binding:protein binding; RNA binding; RNA modification; zinc ion binding; mitochondrion; intracellular membrane-bounded organelle	OG0000188	6	4	5	4	3	4	5	3	4	5	4	4	6	4	5	3	4	6	3	4
binding:RNA binding; helicase activity; intracellular anatomical structure; nucleic acid binding; ATP binding; catalytic step 2 spliceosome; spliceosomal complex disassembly; double-stranded RNA binding; nucleolus; positive regulation of transcription by RNA polymerase I; ATP hydrolysis activity	OG0000189	9	5	3	5	3	5	3	5	3	5	3	5	3	5	3	5	3	5	5	3
binding:protein binding; receptor serine/threonine kinase binding	OG0000190	3	4	7	2	6	4	6	2	5	4	6	4	7	5	5	2	5	0	2	5
NA	OG0000191	5	4	5	6	4	4	4	3	5	4	6	6	7	6	5	4	1	0	4	1
binding; unknown:regulation of DNA-templated transcription; zinc ion binding	OG0000192	5	4	6	3	5	3	4	4	5	3	4	5	6	4	6	3	5	4	3	5
catalytic activity:lipid metabolic process; triglyceride lipase activity	OG0000193	5	6	3	6	2	6	3	5	3	6	3	6	3	5	3	6	3	2	5	3
catalytic activity:Golgi apparatus; glycosyltransferase activity	OG0000194	6	5	4	3	4	4	4	6	3	4	3	5	4	5	4	4	4	5	4	4
catalytic activity:acyltransferase activity, transferring groups other than amino-acyl groups	OG0000195	6	6	3	5	2	6	3	5	3	6	2	6	3	6	3	6	3	4	4	3
binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity	OG0000196	6	5	4	4	5	5	4	4	2	5	4	4	4	4	4	3	4	5	3	4
catalytic activity:hydrolase activity	OG0000197	7	6	4	1	5	4	3	4	4	5	4	6	4	5	4	1	5	2	4	4
transport:plasma membrane; ammonium transmembrane transporter activity; membrane; ammonium transmembrane transport	OG0000198	6	4	5	4	4	4	4	3	4	4	3	4	5	4	5	4	3	6	3	5
catalytic activity:UDP-glycosyltransferase activity; quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity	OG0000199	9	5	4	5	3	5	3	3	5	4	4	5	4	5	4	3	3	4	3	3
NA	OG0000200	8	6	3	5	3	6	3	3	3	6	3	6	3	6	3	3	3	4	4	3
catalytic activity:serine-type carboxypeptidase activity; proteolysis; acyltransferase activity, transferring groups other than amino-acyl groups; secondary metabolic process	OG0000201	5	8	2	6	2	7	3	5	1	8	2	9	2	5	3	5	1	1	5	1
unknown:ligand-gated monoatomic ion channel activity; membrane	OG0000202	7	5	4	4	4	5	3	3	4	4	4	6	3	4	5	3	4	5	4	3
binding:protein kinase activity; ATP binding; protein phosphorylation; carbohydrate binding; protein tyrosine kinase activity	OG0000203	7	4	5	4	5	4	5	3	2	4	5	4	5	4	5	3	2	6	3	2
binding:N,N-dimethylaniline monooxygenase activity; flavin adenine dinucleotide binding; NADP binding	OG0000204	9	6	3	4	2	5	3	5	2	5	3	6	3	6	3	5	3	4	4	2
transport:membrane; carbohydrate transport; sugar transmembrane transporter activity	OG0000205	5	6	3	6	3	5	3	4	4	5	3	8	3	6	3	3	4	5	2	4
NA	OG0000206	8	2	7	2	6	2	6	2	7	2	6	2	8	2	7	2	3	2	2	4
transport:carbohydrate transmembrane transporter activity; transmembrane transporter activity; membrane; transmembrane transport	OG0000207	7	4	4	4	5	4	4	4	3	5	3	4	4	4	4	4	4	4	4	4
carbohydrate metabolism:membrane; cellulose synthase (UDP-forming) activity; cellulose biosynthetic process	OG0000208	5	4	4	4	5	4	5	4	3	4	4	4	4	4	4	4	4	5	3	4
transport; binding:ATP binding; membrane; mitochondrial inner membrane; ABC-type oligopeptide transporter activity; oligopeptide export from mitochondrion; ATP hydrolysis activity; chloroplast envelope; ATPase-coupled transmembrane transporter activity; transmembrane transport; ABC-type transporter activity; plasma membrane	OG0000209	3	8	4	2	4	3	3	3	6	3	4	9	3	5	3	3	6	3	3	5
binding:copper ion binding; primary amine oxidase activity; amine metabolic process; quinone binding	OG0000210	9	6	2	5	2	7	2	6	1	5	2	6	2	6	2	6	1	3	6	2
catalytic activity:serine-type endopeptidase activity; proteolysis; serine-type peptidase activity	OG0000211	11	4	4	4	3	3	3	5	3	3	4	4	4	4	3	5	3	4	5	3
immune/defense; catalytic activity; binding:chitinase activity; defense response to fungus; chitin catabolic process; cell wall macromolecule catabolic process; chitin binding	OG0000212	11	5	4	4	3	4	3	4	2	4	4	5	4	5	3	4	2	4	4	2
NA	OG0000213	6	4	4	4	3	4	4	4	4	4	4	6	4	4	4	4	3	4	4	3
carbohydrate metabolism:6-phosphofructokinase activity; glycolytic process	OG0000214	5	4	5	4	4	4	5	3	3	4	5	4	5	5	3	3	5	4	4	4
NA	OG0000215	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4
unknown:ligand-gated monoatomic ion channel activity; membrane	OG0000216	6	3	7	2	5	2	7	1	4	3	7	3	7	3	7	1	4	4	1	4
binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding; receptor serine/threonine kinase binding	OG0000217	12	6	1	7	1	6	1	8	0	7	1	7	1	7	1	7	0	3	6	0
binding; immune/defense:ADP binding; protein binding; defense response; defense response to other organism	OG0000218	13	5	3	4	3	5	2	3	3	5	3	5	3	5	2	3	3	6	2	3
catalytic activity:oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; 2-alkenal reductase [NAD(P)+] activity; oxidoreductase activity; response to oxidative stress	OG0000219	10	3	6	3	5	2	5	2	4	2	5	3	6	3	6	2	3	5	2	4
binding:peroxidase activity; response to oxidative stress; heme binding	OG0000220	8	4	4	4	2	4	3	3	4	4	3	5	4	5	4	3	4	7	3	3
NA	OG0000221	5	3	4	4	4	4	3	3	3	4	6	5	6	3	4	2	6	3	3	3
binding:ATP binding; ATP hydrolysis activity	OG0000222	6	4	4	4	5	3	5	3	4	3	4	5	6	5	4	2	3	4	3	4
binding:RNA binding; RNA modification; protein binding; intracellular membrane-bounded organelle	OG0000223	7	3	4	5	3	4	4	3	4	4	4	4	4	4	4	3	4	6	3	3
binding:protein kinase activity; protein phosphorylation; ATP binding	OG0000224	5	5	3	5	3	5	3	5	3	5	3	5	3	5	3	5	2	5	5	2
unknown:plant-type cell wall organization	OG0000225	5	5	4	3	4	4	4	4	4	4	3	4	4	5	4	5	3	4	4	4
binding; immune/defense:ADP binding; protein binding; defense response; defense response to other organism	OG0000226	9	8	1	7	0	8	1	4	1	8	0	8	1	7	1	5	0	4	5	1
binding; catalytic activity:L-aspartate:2-oxoglutarate aminotransferase activity; mitochondrion; amino acid metabolic process; transaminase activity; biosynthetic process; pyridoxal phosphate binding	OG0000227	5	5	3	5	3	5	3	5	2	5	3	6	4	5	4	5	2	4	5	2
transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport	OG0000228	8	5	4	4	3	5	2	4	3	5	2	5	3	5	4	4	3	4	4	3
catalytic activity:hydrolase activity	OG0000229	5	3	3	4	4	4	4	4	4	4	4	4	3	4	4	4	4	5	4	4
unknown:phloem development	OG0000230	6	5	3	5	3	5	3	4	3	5	3	5	3	5	3	4	3	4	4	3
binding:GTPase activity; GTP binding	OG0000231	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4
catalytic activity:UDP-glycosyltransferase activity; UDP-glucosyltransferase activity	OG0000232	5	4	3	5	3	5	3	5	2	5	3	5	3	5	3	5	3	4	5	3
unknown:proteolysis	OG0000233	10	7	0	8	0	6	0	7	0	7	1	7	0	6	0	6	0	8	6	0
carbohydrate metabolism:1,3-beta-D-glucan synthase activity; plasma membrane; glucosyltransferase activity; 1,3-beta-D-glucan synthase complex; (1->3)-beta-D-glucan biosynthetic process; membrane	OG0000234	6	4	4	4	3	4	3	4	4	4	3	4	4	4	4	4	3	5	4	4
binding:protein binding	OG0000235	14	4	4	3	4	3	3	3	4	4	3	4	4	3	3	2	4	5	2	4
catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation	OG0000236	5	4	3	4	3	4	3	4	4	4	4	4	4	4	3	4	4	5	4	4
unknown; catalytic activity:extracellular region; hydrolase activity, acting on ester bonds	OG0000237	5	3	5	3	5	3	5	3	5	3	5	3	5	3	5	3	5	1	3	5
binding; catalytic activity:copper ion binding; oxidoreductase activity	OG0000238	6	4	4	4	3	4	3	4	4	4	3	5	4	4	4	4	3	6	4	3
binding:protein kinase activity; ATP binding; protein phosphorylation; calcium ion binding	OG0000239	5	5	3	5	3	5	3	4	3	5	3	5	3	5	3	5	2	4	4	3
binding; unknown:peroxidase activity; response to oxidative stress; heme binding; nucleic acid binding; zinc ion binding; DNA integration	OG0000240	7	1	5	5	5	3	5	2	5	4	4	1	6	1	6	5	1	2	2	6
binding:GTPase activity; GTP binding	OG0000241	4	4	4	4	4	4	4	5	3	4	4	4	4	4	4	5	3	4	3	3
catalytic activity:aspartic-type endopeptidase activity; proteolysis; extracellular region; cell wall; Golgi apparatus; plasma membrane	OG0000242	8	4	2	4	3	3	3	4	3	4	3	4	3	4	3	4	3	9	4	3
catalytic activity:acyltransferase activity, transferring groups other than amino-acyl groups	OG0000243	5	4	3	4	3	4	3	4	4	4	4	4	3	4	4	4	5	3	4	5
catalytic activity:UDP-glycosyltransferase activity	OG0000244	6	5	3	5	3	5	3	4	3	5	3	5	3	4	3	4	3	5	3	3
NA	OG0000245	4	4	4	4	4	4	4	4	3	4	3	4	4	4	4	5	3	4	4	4
catalytic activity:quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity; UDP-glycosyltransferase activity	OG0000246	6	4	2	6	2	7	2	4	2	6	3	6	2	5	2	4	2	5	4	2
catalytic activity:protein-arginine N-methyltransferase activity; peptidyl-arginine methylation; chromatin remodeling; peptidyl-arginine methylation, to asymmetrical-dimethyl arginine; NA; histone methyltransferase activity; nucleus; S-adenosylmethionine-dependent methyltransferase activity; histone H3R2 methyltransferase activity	OG0000247	6	5	3	5	3	5	3	5	2	5	3	5	3	5	3	4	3	4	5	0
NA	OG0000248	6	4	4	2	4	4	3	4	4	3	4	4	5	4	5	4	4	3	3	4
binding:FAD binding; flavin adenine dinucleotide binding; oxidoreductase activity	OG0000249	5	2	6	2	6	2	5	2	5	2	5	2	8	2	6	2	5	5	1	5
binding:signal transduction; ADP binding; defense response	OG0000250	2	7	2	6	2	6	2	5	2	7	2	7	2	7	2	5	2	1	5	2
binding; transport:GTPase activity; GTP binding; cytoplasm; microtubule; microtubule binding; membrane; plasma membrane; receptor-mediated endocytosis	OG0000251	5	3	5	2	5	3	5	4	4	3	5	3	5	3	5	3	2	5	2	4
catalytic activity:cysteine-type peptidase activity; proteolysis	OG0000252	5	3	5	3	5	4	4	2	4	4	4	3	5	3	5	3	3	3	4	3
signaling:calcium ion binding; calcium-mediated signaling; kinase binding	OG0000253	7	4	3	4	4	4	4	4	3	4	4	4	4	4	4	4	2	2	3	4
NA	OG0000254	2	9	1	3	3	5	3	2	2	5	1	7	4	10	1	5	3	2	4	2
transport:phosphatidylinositol phospholipase C activity; plasma membrane; intracellular signal transduction; phosphatidylinositol-mediated signaling; release of sequestered calcium ion into cytosol; lipid metabolic process; signal transduction; phosphoric diester hydrolase activity	OG0000255	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	2	2	4	4
binding:RNA binding; RNA modification; zinc ion binding; protein binding; intracellular membrane-bounded organelle	OG0000256	7	2	5	2	4	3	5	3	5	3	5	2	5	2	5	1	5	4	3	5
binding:protein binding	OG0000257	6	2	4	5	4	4	4	2	4	4	4	5	4	4	4	3	4	3	3	3
binding:RNA binding; RNA modification; zinc ion binding; protein binding; intracellular membrane-bounded organelle	OG0000258	5	6	3	5	3	5	2	5	1	4	2	6	3	6	3	5	2	5	4	2
NA	OG0000259	5	4	4	5	3	4	4	3	4	4	2	4	4	3	4	4	3	5	4	3
binding:protein heterodimerization activity; nucleosome; DNA binding; structural constituent of chromatin	OG0000260	4	4	3	5	3	5	3	5	3	3	3	4	3	4	3	7	1	5	5	3
catalytic activity; unknown; binding:chloroplast; chlorophyll catabolic process; pheophytinase activity; chlorophyll metabolic process; chlorophyllase activity; protein dimerization activity	OG0000261	6	5	3	5	3	4	3	5	2	4	3	5	3	5	3	5	2	4	5	1
catalytic activity:oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; oxidoreductase activity; peptidyl-prolyl cis-trans isomerase activity	OG0000262	7	4	5	2	3	3	5	4	1	3	4	4	5	3	5	2	5	4	1	5
catalytic activity:UDP-glucosyltransferase activity; UDP-glycosyltransferase activity	OG0000263	7	7	3	2	2	5	1	3	3	3	3	7	3	6	3	5	2	4	4	2
NA	OG0000264	7	5	3	3	3	3	3	3	3	4	3	5	3	4	3	6	2	7	3	2
catalytic activity:methyltransferase activity	OG0000265	8	4	3	5	3	5	3	2	4	5	3	4	3	4	3	3	4	2	4	3
binding:protein kinase activity; ATP binding; protein phosphorylation	OG0000266	6	4	3	4	3	5	2	5	2	4	3	5	3	4	3	4	3	5	4	3
carbohydrate metabolism:membrane; cellulose synthase (UDP-forming) activity; cellulose biosynthetic process	OG0000267	10	5	2	6	1	5	2	4	2	5	2	5	2	5	2	5	2	4	4	2
catalytic activity:oxidoreductase activity	OG0000268	8	4	4	3	3	4	1	4	4	5	1	4	4	4	4	6	1	3	3	4
catalytic activity:UDP-glycosyltransferase activity; quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity	OG0000269	5	5	3	3	3	5	3	5	2	5	4	5	3	4	3	5	0	5	3	2
carbohydrate metabolism:phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process	OG0000270	4	4	3	4	4	4	4	3	4	4	3	4	4	4	4	4	2	4	3	4
binding:RNA binding; RNA splicing, via transesterification reactions; mRNA binding	OG0000271	8	4	4	4	3	4	2	4	3	3	2	5	4	5	4	1	4	6	4	2
catalytic activity:UDP-glycosyltransferase activity; UDP-glucosyltransferase activity	OG0000272	7	7	1	7	1	7	2	5	2	5	1	8	1	6	1	5	2	3	5	1
NA	OG0000273	6	1	6	2	5	2	6	3	4	3	5	2	8	2	3	2	4	5	2	3
binding; immune/defense:protein binding; ADP binding; defense response; defense response to other organism	OG0000274	7	8	2	6	2	4	2	5	0	6	2	8	2	6	2	4	0	3	5	1
catalytic activity:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; putrescine biosynthetic process from arginine; N-carbamoylputrescine amidase activity; beta-ureidopropionase activity; beta-alanine biosynthetic process via 3-ureidopropionate; mitochondrion; oxaloacetate metabolic process; asparagine metabolic process; glutamine metabolic process; omega-amidase activity; nitrilase activity; catalytic activity; nitrile hydratase activity; detoxification of nitrogen compound	OG0000275	6	5	2	5	4	4	2	3	2	4	4	5	3	5	2	4	3	5	4	2
NA	OG0000276	7	7	3	4	3	5	2	3	2	4	2	7	3	7	3	3	3	1	3	2
carbohydrate metabolism:xylan 1,4-beta-xylosidase activity; arabinan catabolic process; xylan catabolic process; alpha-L-arabinofuranosidase activity; apoplast; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process	OG0000277	4	4	4	4	3	4	3	4	3	5	3	4	4	4	3	3	3	4	4	3
NA	OG0000278	6	7	3	3	2	5	1	2	2	5	1	9	3	7	4	3	3	3	3	3
transport:channel activity; membrane; transmembrane transport	OG0000279	4	4	4	4	3	4	3	4	3	4	3	4	4	4	4	4	3	3	4	3
binding:DNA binding; structural constituent of chromatin; protein heterodimerization activity	OG0000280	4	5	4	4	2	4	4	4	3	3	4	5	3	6	3	4	2	3	3	2
transport:plasma membrane; phospholipid translocation; ATPase-coupled intramembrane lipid transporter activity; nucleotide binding	OG0000281	5	4	4	3	4	4	3	4	2	4	4	4	4	4	3	2	4	5	2	4
binding:protein binding; structural constituent of ribosome; ribosome; translation	OG0000282	5	3	5	3	4	1	5	2	5	3	4	3	7	4	5	2	4	2	3	4
catalytic activity:raffinose alpha-galactosidase activity	OG0000283	5	4	3	4	4	4	3	4	3	2	2	4	3	4	3	5	3	5	5	4
transport:potassium ion transport; potassium ion transmembrane transporter activity; membrane; potassium ion transmembrane transport	OG0000284	9	4	2	5	2	5	2	6	2	5	2	5	2	4	2	5	2	2	5	2
catalytic activity:glycosyltransferase activity	OG0000285	6	4	4	4	3	4	3	3	2	4	4	4	4	4	4	4	2	4	3	2
catalytic activity:stearoyl-CoA 9-desaturase activity; fatty acid metabolic process; defense response; chloroplast stroma; acyl-[acyl-carrier-protein] desaturase activity	OG0000286	5	3	4	4	4	4	4	4	3	4	3	4	3	4	3	3	3	4	4	3
unknown; binding:carbohydrate metabolic process; alpha-amylase activity; calcium ion binding	OG0000287	5	4	4	4	1	4	2	3	4	4	4	4	4	3	4	3	4	4	3	4
unknown:membrane; transmembrane transporter activity	OG0000288	4	4	4	4	3	4	3	4	2	4	3	4	4	4	4	4	3	3	4	4
binding:protein binding	OG0000289	5	3	4	3	4	4	4	3	3	3	3	3	5	3	4	3	4	4	4	4
unknown:photosynthesis, light harvesting; membrane	OG0000290	6	3	4	3	3	4	4	4	4	4	4	3	4	3	4	3	4	3	3	3
catalytic activity:glycosyltransferase activity	OG0000291	4	4	3	4	4	4	3	4	4	4	4	4	3	4	3	3	3	3	4	3
catalytic activity; binding:helicase activity; protein binding; ATP binding	OG0000292	9	5	2	7	0	6	0	5	0	6	0	7	2	6	1	6	0	7	5	0
catalytic activity:UDP-glycosyltransferase activity; UDP-glucosyltransferase activity	OG0000293	8	1	6	1	6	1	6	1	6	1	6	1	6	1	6	4	2	4	1	5
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding	OG0000294	18	3	3	4	2	3	3	4	1	3	3	3	3	2	3	4	2	6	3	2
binding; catalytic activity:acid phosphatase activity; metal ion binding; hydrolase activity	OG0000295	6	6	1	6	2	5	3	5	1	6	2	6	2	6	2	4	1	3	4	1
binding; catalytic activity:acid phosphatase activity; metal ion binding; hydrolase activity	OG0000296	4	3	5	3	4	3	5	3	3	3	5	3	5	3	5	3	3	2	2	5
NA	OG0000297	1	4	7	5	3	5	3	4	1	4	6	4	7	3	6	3	2	0	1	2
binding; unknown:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane; recognition of pollen; polysaccharide binding	OG0000298	9	4	3	4	3	4	2	3	3	4	2	4	3	4	3	4	3	5	4	3
binding:FAD binding; oxidoreductase activity; flavin adenine dinucleotide binding	OG0000299	3	3	5	3	4	3	4	3	3	3	5	3	5	3	5	3	4	3	3	4
NA	OG0000300	6	4	3	4	2	5	2	5	2	5	2	4	3	4	3	4	3	4	5	2
catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation	OG0000301	6	4	4	3	4	3	4	3	2	3	4	4	4	4	4	2	3	5	3	2
transport:inorganic diphosphate phosphatase activity; diphosphate hydrolysis-driven proton transmembrane transporter activity; membrane; proton transmembrane transport	OG0000302	5	4	4	4	2	4	4	4	2	4	4	4	4	4	4	4	2	4	4	1
